GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
140506A	0.889	3.30686	3.23804	3.37568	-9.90438	-9.95954	-9.84922	1.9	0.423231615	0.327299557	0.948932	0.933362	0.964502	2.8	6.2	0.938375811	0.135744177	3.030628042	0.06882	47.65979038	0.083603454	L-G-P	L-G	8.67e-7	4.56e-8	-0.529779	0.365507273	100.377	33.35454545	0.664030721	0.105160732	51.35201177	0.0725	ISM	CPL	51.4	0.0725	28.2463	140506A	12.540899896135848	0.2731549956851426
150314A	1.758	2.49217	2.47632	2.50803	-8.6099	-8.62492	-8.59487	1.73	0.032	0.032	1.19079	1.18086	1.20071	2	6	0.76039552	0.014960982	2.051575738	0.015855	49.59450166	0.017284827	L-G-P	L-G	3.81e-6	6.06e-8	-0.465417	0.105857879	248.872	61.96484848	0.297269658	0.033002019	52.37722274	0.0487	N/A	CPL	52.4	0.0487	28.6121	150314A	9.218335586073618	0.13469012332439545
160227A	2.38	4.47751	4.43866	4.51636	-10.9957	-11.0263	-10.9652	1.679	0.097	0.095	1.10229	1.06795	1.13663	3.2	6.2	0.676422023	0.047930063	3.9485933	0.03885	47.47964693	0.043362434	L-G-P	L-G	4.88e-8	6.88e-9	1.99129	1.626028758	73.7237	14.236	0.234514138	0.1232319	50.70341821	0.2363	S	CPL	50.7	0.2363	28.7729	160227A	15.242634749496	1.0845834954119822
170202A	3.645	3.77629	3.70764	3.84495	-10.6535	-10.6983	-10.6086	2.04	0.15	0.15	1.1958	1.13664	1.25495	2.4	6	1.063357819	0.148463251	3.109304282	0.068655	48.46411105	0.075419717	L-G-P	L-G	3.92e-7	1.79e-8	-0.491293	0.263834121	110.449	30.34242424	0.235227887	0.070227473	52.05593046	0.1312	S	CPL	52.1	0.1312	28.9958	170202A	10.151265063940755	0.39960227856758296
170705A	2.01	3.63746	3.57143	3.70349	-10.1867	-10.2272	-10.1461	1.66	0.18	0.17	0.774169	0.746836	0.801502	2.8	5	0.687523253	0.080352515	3.158893504	0.06603	48.11668052	0.064965998	L-G-P	L-G	1.13e-6	2.41e-8	-0.917261	0.134438788	161.283	53.27242424	0.429474938	0.060923121	52.15093098	0.0623	ISM	CPL	52.2	0.0623	28.6834	170705A	9.865942979954076	0.18445728432538572
190106A	1.86	4.19124	4.16014	4.22233	-10.4325	-10.4611	-10.404	2.9365	1.451761775	1.000740851	1.26841	1.24141	1.29542	2.45	6.2	2.675388094	2.089350651	3.734873967	0.031095	48.3784193	0.340362817	L-G-P	L-G	3.36e-7	1.3e-8	-0.892926	0.225653939	74.7712	12.15130303	0.614299062	0.072716274	51.69810232	0.0541	ISM	CPL	51.7	0.0541	28.6422	190106A	11.302487790913158	0.183536048743511
60418	1.49	3.11887	3.06163	3.17612	-9.79296	-9.842	-9.74392	1.98	0.23	0.22	1.47655	1.43185	1.52126	2.6	6	0.98191979	0.12215297	2.722670653	0.057245	48.34547721	0.072964774	L-G-P	L-G	4.99e-7	1.63e-8	-1.49841	0.053854545	-	-	0.632805681	0.031090104	51.6456516	0.0256	S	PL	51.6456	0.0256	28.5236	60418	11.481937894154196	0.08834075283545793
60605	3.8	4.04162	4.00425	4.079	-11.2609	-11.3141	-11.2078	1.835	0.50798622	0.305	1.9179	1.8329	2.0029	2.31	5	0.771960708	0.298319099	3.360378763	0.037375	47.76069885	0.176045183	L-G-P	L-G	4.73e-8	6.93e-9	-0.850847	0.258882424	-	-	0.164873018	0.066952804	51.02586323	0.1875	Wind	PL	51.0258	0.1875	29.0174	60605	13.832988663488441	0.7801992546135441
60814	0.84	4.22387	4.18901	4.25872	-10.9108	-10.9461	-10.8755	1.97	0.1	0.1	1.29504	1.27047	1.3196	3.03	6.2	0.981873334	0.036285609	3.959052177	0.034855	46.61235007	0.038777294	L-G-P	L-G	6.06e-7	1.48e-8	-1.30068	0.03990303	-	-	0.652841269	0.015884603	51.12806218	0.015	N/A	PL	51.128	0.015	28.2159	60814	13.414275147056037	0.06051688662593295
60906	3.685	4.33479	4.26264	4.40693	-11.8833	-11.9717	-11.7948	2.06	0.18	0.17	1.71887	1.54924	1.88851	2.5	6	1.097090806	0.179699508	3.664080405	0.072145	47.2591709	0.113506449	L-G-P	L-G	1.22e-7	1.18e-8	-1.99727	0.150721212	-	-	0.995792756	0.231789388	52.1858074	0.1095	ISM	PL	52.1858	0.1095	29.0015	60906	9.763230619334614	0.32064468555719733
61121	1.314	3.78753	3.7705	3.80456	-10.0299	-10.0426	-10.0173	1.9485	0.07738863	0.072672209	1.35185	1.336	1.3677	2.27	6.5	0.95771279	0.036537523	3.423166645	0.01703	47.96278284	0.020845717	L-G-P	L-G	1.96e-6	2.43e-8	-1.05095	0.022127273	-	-	0.451025356	0.008372964	51.95834862	0.0097	Wind	PL	51.9583	0.0097	28.4561	61121	10.45297934983813	0.030398154117041207
70110	2.352	4.26825	4.21425	4.32224	-11.0488	-11.1036	-10.9941	2.186	0.451559797	0.208224038	1.42725	1.3807	1.47381	2.4	6.5	1.25229471	0.302845191	3.74294599	0.053995	47.68153566	0.118440304	L-G-P	L-G	4.73e-8	6.48e-9	-1.46378	0.206030303	-	-	0.522783033	0.130280372	51.02600056	0.1235	Wind	PL	51.026	0.1235	28.7667	70110	13.832417221132923	0.5137851412291045
70529	2.4996	3.09323	3.02519	3.16128	-10.2468	-10.302	-10.1916	1.76	0.21	0.18	1.21432	1.17931	1.24933	2.2	5.8	0.740347445	0.109601257	2.549211592	0.068045	48.31948561	0.084738661	L-G-P	L-G	1.11e-7	1.84e-8	-1.4869	0.240866667	-	-	0.525852757	0.158660983	51.46473424	0.1494	S	PL	51.4647	0.1494	28.7988	70529	12.123219000243852	0.5440320424327384
80430	0.767	4.217629106	4.179240584	4.256017629	-11.17223461	-11.20041558	-11.14405365	4.18	1.801	1.65	0.992697628	0.971762559	1.013632697	2.5	6.5	3.459200045	2.059373215	3.970392556	0.038388522	46.80071913	0.260080772	L-G-P	L-G	1.82e-7	8.08e-9	-1.75064	0.072306061	-	-	0.867659036	0.035715124	50.63180707	0.0263	N/A	PL	50.6318	0.0263	28.1674	80430	15.574926524615629	0.12340700028041694
80721	2.6	2.87876286	2.871208044	2.886317675	-8.713485538	-8.720504837	-8.70646624	1.735	0.018	0.018	1.334375589	1.327939916	1.340811262	2	6.1	0.712163707	0.00995165	2.322460359	0.007554816	49.87740636	0.009279027	L-G-P	L-G	1.93e-6	1.03e-7	-0.994738	0.088898485	-	-	0.275911775	0.031418923	52.46396221	0.0546	N/A	PL	52.4639	0.0546	28.8195	80721	8.981577498637952	0.14707086074404982
81008	1.967	3.855508334	3.79922265	3.911794018	-10.79325557	-10.85378546	-10.73272568	1.84	0.18	0.13	1.473984673	1.409995994	1.537973352	3	6	0.840289995	0.085847315	3.383190788	0.056285684	47.5742692	0.075049954	L-G-P	L-G	1.05e-7	8.13e-9	-1.34307	0.12310303	-	-	0.489463639	0.065529816	51.15263616	0.0672	Wind	PL	51.1526	0.0672	28.6719	81008	13.315516829037774	0.2691612529773096
91018	0.971	2.896555345	2.862057467	2.931053222	-9.626765539	-9.651054142	-9.602476935	1.91	0.108166538	0.10404326	1.180748671	1.164413557	1.197083785	1.9	6	0.940758614	0.041049305	2.601868721	0.034497877	48.03312577	0.030806545	L-G-P	L-G	5.91e-7	1.22e-8	-2.19323	0.038245455	-	-	1.140098296	0.029586816	51.51519537	0.0144	N/A	PL	51.5152	0.0144	28.2936	91018	11.940810043292126	0.0517259496928869
91020	1.71	2.952650108	2.907378853	2.997921363	-9.71287528	-9.747355967	-9.678394593	1.895	0.125299641	0.120933866	1.174172639	1.155927778	1.1924175	2.4	6	0.900613027	0.066995282	2.519680817	0.045271255	48.53545315	0.04725071	L-G-P	L-G	3.64e-7	1.71e-8	-1.18388	0.07539697	-	-	0.443246283	0.033317452	51.5010753	0.0385	N/A	PL	51.5011	0.0385	28.5973	91020	11.991571470574945	0.13868130510049675
090418A	1.608	3.528136567	3.497377547	3.558895588	-10.04734554	-10.07600494	-10.01868613	1.98	0.148660687	0.141598023	1.529096669	1.486942155	1.571251182	2.1	5.6	0.981010935	0.082713269	3.11182898	0.03075902	48.17233996	0.04649929	L-G-P	L-G	1.58e-7	1.66e-8	-1.29276	0.167690909	-	-	0.507657284	0.081603757	51.13226217	0.0834	Wind	PL	51.1322	0.0834	28.5644	090418A	13.397343921628094	0.3361282326609511
100219A	4.7	4.721899099	4.618125636	4.825672562	-12.13530676	-12.46170239	-11.80891114	1.46	0.14	0.13	3.692984743	2.962131341	4.423838146	2.9	5.2	0.390685756	0.055634346	3.966024243	0.103773463	46.80900593	0.332202984	L-G-P	L-G	3.15e-8	7.21e-9	-1.42603	0.376558182	-	-	0.368256575	0.24135049	51.41721563	0.3015	N/A	PL	51.4172	0.3015	29.1266	100219A	12.29755733078568	1.1139801036609136
110213A	1.46	3.84089	3.81962	3.86665	-9.89698	-9.93009	-9.85833	2.1905	0.681520543	0.228795214	1.8412	1.81639	1.87209	2.1	6	1.187061276	0.294762085	3.449954893	0.023515	48.30204222	0.113652963	L-G-P	L-G	7.15e-8	1.88e-8	-2.82425	0.477678788	-	-	2.100043361	0.902993408	51.30131736	0.2188	ISM	PL	51.3013	0.2188	28.5127	110213A	12.733442203081779	0.8373558672674817
110818A	3.36	3.846274153	3.786625737	3.905922569	-11.28292779	-11.33807684	-11.22777874	1.83	0.2	0.18	1.371677184	1.304338994	1.439015373	3.2	6	0.778551412	0.132009144	3.206787664	0.059648416	47.61483268	0.091999722	L-G-P	L-G	1.41e-7	1.5e-8	-1.10998	0.197767879	-	-	0.269677203	0.078532071	51.58604743	0.1346	Wind	PL	51.586	0.1346	28.9536	110818A	11.68934683393366	0.4726714317885478
111008A	5	3.989933926	3.95425723	4.025610622	-10.66765993	-10.69617102	-10.63914885	1.829	0.097	0.095	1.215842875	1.188491585	1.243194166	2.5	6	0.736098845	0.076736703	3.211782676	0.035676696	48.61493265	0.053503646	L-G-P	L-G	5.41e-7	3.91e-8	-1.25893	0.111360606	-	-	0.265054665	0.052886734	52.57251191	0.0922	S	PL	52.5725	0.0922	29.1582	111008A	8.69386951170092	0.24031422478752612
120118B	2.943	3.68307	3.57391	3.83744	-10.956	-11.068	-10.8336	2.01	0.26	0.25	1.0241	0.953778	1.10809	2.5	5	1.013813962	0.214956316	3.087243223	0.131765	47.91825868	0.149046951	L-G-P	L-G	1.38e-7	1.32e-8	-1.89927	0.142154545	-	-	0.870928232	0.169855192	51.9495428	0.0943	S	PL	51.9495	0.0943	28.8845	120118B	10.480645784284558	0.296545144637107
120404A	2.88	3.79948	3.75479	3.89136	-11.0269	-11.1683	-10.9342	1.69	0.13	0.12	1.90651	1.7885	2.03127	2.6	5.2	0.656843891	0.067467579	3.210648274	0.068285	47.63621668	0.125262195	L-G-P	L-G	7.62e-8	1.09e-8	-1.83909	0.22980303	-	-	0.803990815	0.25050346	51.63287562	0.1488	Wind	PL	51.6329	0.1488	28.8732	120404A	11.526081144903742	0.5151662891123358
120922A	3.1	3.59799	3.54452	3.81127	-10.5957	-10.8072	-10.4799	2.17	0.24	0.23	1.06622	1.03418	1.10544	2.9	6	1.271081084	0.255434867	2.985206143	0.133375	48.43107046	0.185467777	L-G-P	L-G	1.06e-7	7.57e-9	-1.95087	0.115606061	-	-	0.933026393	0.152194002	51.91752117	0.0773	S	PL	51.9175	0.0773	28.9117	120922A	10.581874687665396	0.24567850423432352
140419A	3.956	3.68383	3.65941	3.70825	-10.0056	-10.0296	-9.98163	1.678	0.099	0.097	1.36898	1.35109	1.38686	3	6.2	0.597265903	0.056779607	2.988698702	0.02442	48.94609938	0.047747905	L-G-P	L-G	4.18e-7	1.28e-8	-1.03015	0.048148182	-	-	0.211751703	0.016318842	52.12236858	0.036	N/A	PL	52.1223	0.036	29.0381	140419A	9.9508686810463	0.10755259495247008
140509A	2.4	3.58709	3.52293	3.70036	-11.0977	-11.1759	-11.008	1.86	0.23	-0.21	1.40649	1.312	1.52036	2.85	5	0.842544701	0.006249003	3.055611083	0.088715	47.4818573	0.084011772	L-G-P	L-G	1.18e-7	1.77e-8	-1.49284	0.234306061	-	-	0.537594915	0.154148891	51.45715968	0.1405	Wind	PL	51.4571	0.1405	28.7774	140509A	12.15084113276727	0.5128365537698875
140629A	2.3	2.85608	2.79447	2.91769	-9.84891	-9.8917	-9.80613	1.815	0.109658561	0.106301458	1.16056	1.12555	1.19557	2	5.2	0.801816375	0.062648469	2.33756606	0.06161	48.66416278	0.054607618	L-G-P	L-G	3.5e-7	1.87e-8	-1.35453	0.082972727	-	-	0.462716309	0.045838067	51.81825264	0.0489	S	PL	51.8182	0.0489	28.7549	140629A	10.901981831380883	0.15998177226455187
150403A	2.06	3.19694	3.18997	3.20392	-8.82118	-8.82629	-8.81608	1.679	0.015	0.015	1.24471	1.24013	1.24929	2	6.2	0.698366538	0.007100578	2.711218574	0.006975	49.51510523	0.00674974	L-G-P	L-G	1.71e-6	3.81e-8	-0.917571	0.036280909	-	-	0.298017002	0.012092669	52.19894292	0.0201	N/A	PL	52.1989	0.0201	28.6965	150403A	9.724825163215312	0.05867482569860587
150910A	1.36	3.85419	3.82551	3.88287	-9.97065	-10.0028	-8.59487	1.6645	0.096509067	0.091591484	2.03808	1.97145	2.10471	2.2	5.5	0.749700884	0.036693252	3.481277997	0.02868	47.95264045	0.704285837	L-G-P	L-G	8.28e-8	2.18e-8	-1.46489	0.570074545	-	-	0.631612997	0.309175277	50.76683346	0.2413	Wind	PL	50.7668	0.2413	28.4746	150910A	14.954366545773706	1.0865392263706461
151027A	0.81	3.99907	3.98176	4.01638	-9.93519	-9.9574	-9.91298	1.9235	0.063405441	0.0585235	1.74508	1.72009	1.77007	2.7	6	0.95562519	0.020949538	3.741391425	0.01731	47.53730861	0.024164618	L-G-P	L-G	5.82e-7	2.88e-8	-1.23969	0.081806061	-	-	0.636919291	0.030914618	51.06127541	0.0301	ISM	PL	51.0613	0.0301	28.1965	151027A	13.686430094211184	0.12385649594303767
160121A	1.96	3.8244	3.70401	3.94478	-11.1726	-11.242	-11.1032	2.02	0.27	0.21	0.798663	0.692615	0.904711	2.4	5	1.021941026	0.161309009	3.353108289	0.120385	47.2761284	0.097548301	L-G-P	L-G	7.79e-8	8.23e-9	-1.81961	0.152063636	-	-	0.822211768	0.135679599	51.24587628	0.0851	N/A	PL	51.2459	0.0851	28.67	160121A	12.94742721538543	0.33117598395211567
160327A	4.99	3.76407	3.70374	3.8244	-11.2238	-11.2911	-11.1565	1.78	0.19	0.15	1.49693	1.39653	1.59733	2.45	5	0.674475376	0.124395963	2.986643178	0.06033	48.0187816	0.104618656	L-G-P	L-G	1.25e-7	8.77e-9	-1.56789	0.101963636	-	-	0.461387788	0.084214451	52.17530154	0.0849	Wind	PL	52.1753	0.0849	29.1572	160327A	9.79405716499229	0.2495399536998276
180329B	1.998	4.02296	3.97982	4.0661	-11.1493	-11.1975	-11.101	1.77	0.12	0.12	1.50063	1.43097	1.5703	2.8	5.2	0.776834895	0.062030713	3.546128371	0.04314	47.20075559	0.05941946	L-G-P	L-G	9.09e-8	2.02e-8	-1.91187	0.350969697	-	-	0.907772095	0.34980595	51.37629371	0.1932	S	PL	51.3763	0.1932	28.6802	180329B	12.449716959288077	0.7229520514436285
190114A	3.37	3.74534	3.70312	3.78755	-10.7527	-10.7864	-10.7191	1.86	0.12	0.12	1.18375	1.13759	1.22991	2.6	5	0.81345325	0.087247328	3.104858563	0.042215	48.16719447	0.057463576	L-G-P	L-G	4.12e-8	9.53e-9	-1.50802	0.399853636	-	-	0.484056373	0.285442889	51.30898784	0.2751	S	PL	51.309	0.2751	28.9552	190114A	12.70411872847095	1.0506040714738585
131105A	1.686	3.9488	3.90091	3.99668	-10.9111	-10.9445	-10.8778	1.94	0.17	0.16	1.19347	1.14803	1.23891	2.6	6	0.942439846	0.093118061	3.519693992	0.047885	47.34183612	0.054346501	L-G	L-G	2.68E-07	2.04E-09	-1.452	0.112	-	-	0.581902077	0.064394417	51.47237314	0.0562	N/A	PL	51.648	0.0562	28.5897	131105A	17.60027332	0.255806855
